Unit Name,Capacity (Mwe),Constructor Experience (Reactor-Years),Construction Start Date,Commercial Operation Date,Realized Costs (Mixed Current Dollars),Realized Costs (Constant 1982 dollars),Location: south or southwest,Location: west,Utility construction manager,Single Unit,Cooling tower,Est Completion Date at 0%,Est Completion Date at 25%,Est Completion Date at 50%,Est Completion Date at 75%,Est Completion Date at 90%,Est Overnight Cost at 0%,Est Overnight Cost at 25%,Est Overnight Cost at 50%,Est Overnight Cost at 75%,Est Overnight Cost at 90%,Est Overnight cost at 0% ($/kW),Est Overnight cost at 25% ($/kW),Est Overnight cost at 50% ($/kW),Est Overnight cost at 75% ($/kW),Est Overnight cost at 90% ($/kW),Realized costs at 100% ($/kW),cesc025,cesc2550,cesc5075,cesc7590,cesc90100,sesc025,sesc2550,sesc5075,sesc7590,sesc90100,fcesc025,fcesc2550,fcesc5075,fcesc7590,fcesc90100,fsesc025,fsesc2550,fsesc5075,fsesc7590,fsesc90100,sescor025,sescor2550,sescor5075,sescor7590,sescor90100
Arkansas Nuclear 1,850,142,11/01/1968,12/04/1974,238894,468892,1,0,0,1,0,12/01/1972,09/01/1973,09/01/1973,09/01/1973,10/01/1973,281882,300811,326237,384984,414804,331.6258823529,353.8952941176,383.8082352941,452.9223529412,488.0047058824,551.6376470588,0.0671522126,0.0845248345,0.1800746083,0.0774577645,0.1303941138,0.1837692824,0,0,0.0169971671,0.2389972145,0.4928181656,0.001,0.0683719376,0.0179971671,0.2884740357,1.926750503,1.0707569721,0.7347463608,0.3828127212,1.380439622,0.1837692824,0,0,0.0169971671,0.2389972145
Arkansas Nuclear 2,912,257,07/01/1971,03/25/1980,633000,812294,1,0,0,0,0,10/01/1975,02/01/1977,01/01/1978,07/01/1978,08/01/1978,345532,402212,479191,683280,716295,378.8728070175,441.0219298246,525.4287280702,749.2105263158,785.4111842105,890.673245614,0.1640369054,0.1913891182,0.4259032411,0.0483184053,0.1340215972,0.3148744366,0.1635651322,0.0761784512,0.0121235823,0.2326120556,0.6239233198,0.1645651322,0.1445503888,0.0131235823,0.2820888768,2.0578556572,1.2343221043,0.810924812,0.3779391363,1.3740544631,0.3148744366,0.1635651322,0.0761784512,0.0121235823,0.2326120556
Beaver Valley 1,852,64,03/01/1969,10/15/1976,583400,883708,0,0,0,1,0,06/01/1973,12/01/1973,10/01/1974,05/01/1975,10/01/1975,385518,409792,597963,780338,796509,452.485915493,480.9765258216,701.8345070423,915.8896713615,934.8697183099,1037.2159624413,0.0629646346,0.4591866117,0.3049937872,0.0207230713,0.109476478,0.1178364456,0.1751152074,0.1039215686,0.0679396092,0.158004158,0.4268853289,0.1761152074,0.1722935063,0.0689396092,0.2074809792,1.8608176662,1.2458721795,0.8386679295,0.4337551633,1.2994465655,0.1178364456,0.1751152074,0.1039215686,0.0679396092,0.158004158
Beaver Valley 2,833,118,05/01/1975,10/15/1986,3466000,3079681,0,0,0,0,0,06/15/1979,05/15/1984,05/15/1986,05/15/1986,10/15/1986,685964,1106400,1449292,2358652,3079681,823.4861944778,1328.2112845138,1739.8463385354,2831.5150060024,3697.0960384154,3697.0960384154,0.612912631,0.3099168474,0.6274511969,0.3056953718,0,1.192563081,0.2210781345,0,0.0379464286,0,1.5016119643,0.2220781345,0.0683719376,0.0389464286,0.0494768212,2.9355443017,1.2918351066,0.7347463608,0.4037619826,1.1414424075,,0.2210781345,0,0.0379464286,0
Braidwood 1,1120,110,08/01/1975,10/15/1986,2450000,2045455,0,0,1,1,1,10/15/1981,10/15/1981,10/15/1981,04/15/1986,10/15/1986,572684,755359,840511,1407194,2045455,511.325,674.4276785714,750.45625,1256.4232142857,1826.2991071429,1826.2991071429,0.31898045,0.112730503,0.6742124731,0.4535700124,0,0,0,0.7247463608,0.0468030691,0,0.3090488833,0.001,0.7931182985,0.0478030691,0.0494768212,1.7429812207,1.0707569721,1.4594927217,0.4126186231,1.1414424075,0,0,0.7247463608,0.0468030691,0
Browns Ferry 1,1065,37,09/01/1966,08/15/1974,347520,657872,1,0,1,1,0,10/01/1970,10/01/1970,04/01/1972,10/01/1973,08/01/1974,227395,376468,395320,613992,616796,213.5164319249,353.4910798122,371.1924882629,576.5183098592,579.1511737089,617.7201877934,0.6555685041,0.0500759693,0.553151877,0.0045668347,0.0665957626,0,0.3675385647,0.2687591957,0.1175106301,0.004842615,0.3090488833,0.3685385647,0.3371311333,0.1185106301,0.0543194362,1.7429812207,1.4382955368,0.924081441,0.4833261841,1.1462850225,0,0.3675385647,0.2687591957,0.1175106301,0.004842615
Browns Ferry 2,1065,43,09/01/1966,03/01/1975,260640,493404,1,0,1,0,0,10/01/1970,10/01/1970,01/01/1973,04/01/1974,12/01/1974,170546,282351,296490,460494,462597,160.1370892019,265.1183098592,278.3943661972,432.3887323944,434.3633802817,463.2901408451,0.655570931,0.0500759693,0.553151877,0.0045668347,0.0665957626,0,0.5519785379,0.1966292135,0.0881184543,0.0298705609,0.3090488833,0.5529785379,0.2650011511,0.0891184543,0.0793473821,1.7429812207,1.62273551,0.8519514588,0.4539340083,1.1713129684,0,0.5519785379,0.1966292135,0.0881184543,0.0298705609
Browns Ferry 3,1065,53,09/01/1966,03/01/1977,260640,493404,1,0,1,0,0,10/01/1970,10/01/1970,10/01/1973,10/01/1974,09/01/1975,170546,282351,296490,460494,462597,160.1370892019,265.1183098592,278.3943661972,432.3887323944,434.3633802817,463.2901408451,0.655570931,0.0500759693,0.553151877,0.0045668347,0.0665957626,0,0.7350771294,0.1410900657,0.1134823848,0.1664131427,0.3090488833,0.7360771294,0.2094620034,0.1144823848,0.2158899639,1.7429812207,1.8058341016,0.796412311,0.4792979389,1.3078555502,0,0.7350771294,0.1410900657,0.1134823848,0.1664131427
Brunswick 1,821,29,09/01/1969,03/01/1977,315919,539650,1,0,0,1,1,03/01/1976,03/01/1975,12/01/1975,06/01/1976,03/01/1977,323177,332710,436755,500868,591011,393.6382460414,405.2496954933,531.9792935445,610.0706455542,719.8672350792,657.3081607795,0.0294977675,0.312719786,0.1467939692,0.1799735659,-0.0869036279,-0.1542351454,0.1370204285,0.0801928133,0.1107505071,0,0.1548137379,0.1380204285,0.148564751,0.1117505071,0.0494768212,1.5887460753,1.2077774006,0.7355150586,0.4765660611,1.1414424075,-0.1542351454,0.1370204285,0.0801928133,0.1107505071,0
Brunswick 2,821,23,09/01/1969,11/01/1975,378827,700647,1,0,0,0,1,03/01/1976,03/01/1974,03/01/1974,12/01/1974,01/01/1975,264417,386528,409667,547829,732076,322.0669914738,470.8014616322,498.9853836784,667.2704019488,891.6881851401,853.4068209501,0.4618122133,0.0598637097,0.3372544042,0.3363221005,-0.042931335,-0.3080488833,0,0.1674786845,0.0161711007,0.1560574949,0.001,0.001,0.2358506222,0.0171711007,0.2055343161,1.4349323374,1.0707569721,0.8228009299,0.3819866547,1.2974999023,-0.3080488833,0,0.1674786845,0.0161711007,0.1560574949
