"type","negatives","outliers","items","params","errors","shifts"
"Exponential","NVR","OK","Rate",0.582813787169973,0.0677505271253736,0
"","","","",0,0,0
"Exponential","VS","OK","Rate",0.518100464604104,0.0602277312689084,0.2143136679
"","","","",0,0,0.2143136679
"Gamma","NVR","OK","Shape",2.53878604325722,0.393049337060209,0
"","","","Rate",1.47949184444579,0.253210795136443,0
"Gamma","VS","OK","Shape",3.30592492716915,0.518411311120134,0.2143136679
"","","","Rate",1.71274986108099,0.290046415635006,0.2143136679
"Normal","NA","OK","Mean",1.71581392838784,0.155549591783783,0
"","","","SD",1.33808818365579,0.109989894725399,0
"Exponential","NVR","OR","Rate",0.6758032323523,0.0807737588974833,0
"","","","",0,0,0
"Exponential","VS","OR","Rate",0.684988033825664,0.0812929502064699,0.001
"","","","",0,0,0.001
"Gamma","NVR","OR","Shape",3.72437807567204,0.603463320535515,0
"","","","Rate",2.51692401288809,0.436594849196057,0
"Gamma","VS","OR","Shape",2.35959431906605,0.371445467859415,0.001
"","","","Rate",1.61610892354141,0.283394771952062,0.001
"Normal","NA","OR","Mean",1.45887952708451,0.0914318021957761,0
"","","","SD",0.770418059328674,0.0646515571844455,0
