"type","negatives","outliers","items","params","errors","shifts"
"Exponential","NVR","OK","Rate",0.982958618797805,0.114266500152751,0
"","","","",0,0,0
"Exponential","VS","OK","Rate",0.947792948168717,0.109441580922287,0.0519903076
"","","","",0,0,0.0519903076
"Gamma","NVR","OK","Shape",2.59711758825331,0.402566064387288,0
"","","","Rate",2.55296358933833,0.43647310161424,0
"Gamma","VS","OK","Shape",2.09296153680136,0.318306873318101,0.0519903076
"","","","Rate",1.98371921953646,0.340716182403916,0.0519903076
"Normal","NA","OK","Mean",1.003092463216,0.0761078168025233,0
"","","","SD",0.659113027779283,0.0538157959122208,0
