type,negatives,outliers,items,params,errors,shifts
Exponential,NVR,OK,Rate,0.98296,0.11427,0.00000
Exponential,NVR,OR,Rate,1.03675,0.12218,0.00000
Exponential,VS,OK,Rate,0.94779,0.10944,0.05199
Exponential,VS,OR,Rate,0.89336,0.10528,0.15481
Gamma,NVR,OK,Shape,2.59712,0.40257,0.00000
,,,Rate,2.55296,0.43647,0.00000
Gamma,NVR,OR,Shape,2.84002,0.44833,0.00000
,,,Rate,2.94449,0.50838,0.00000
Gamma,VS,OK,Shape,2.09296,0.31831,0.05199
,,,Rate,1.98372,0.34072,0.05199
Gamma,VS,OR,Shape,4.01655,0.64356,0.15481
,,,Rate,3.58809,0.61240,0.15481
Normal,NA,OK,Mean,1.00309,0.07611,0.00000
,,,SD,0.65911,0.05382,0.00000
Normal,NA,OR,Mean,0.96455,0.06793,0.00000
,,,SD,0.57638,0.04803,0.00000
