"type","negatives","outliers","items","params","errors","shifts"
"Exponential","NVR","OK","Rate",0.982958618797805,0.114266500152751,0
"","","","",0,0,0
"Exponential","VS","OK","Rate",0.947792948168717,0.109441580922287,0.0519903076
"","","","",0,0,0.0519903076
"Gamma","NVR","OK","Shape",2.59711758825331,0.402566064387288,0
"","","","Rate",2.55296358933833,0.43647310161424,0
"Gamma","VS","OK","Shape",2.09296153680136,0.318306873318101,0.0519903076
"","","","Rate",1.98371921953646,0.340716182403916,0.0519903076
"Normal","NA","OK","Mean",1.003092463216,0.0761078168025233,0
"","","","SD",0.659113027779283,0.0538157959122208,0
"Exponential","NVR","OR","Rate",1.03675065361639,0.122182122584391,0
"","","","",0,0,0
"Exponential","VS","OR","Rate",0.893363004651632,0.105283707857499,0.1548137379
"","","","",0,0,0.1548137379
"Gamma","NVR","OR","Shape",2.84001933849941,0.448326334997951,0
"","","","Rate",2.94448681057577,0.508384961699054,0
"Gamma","VS","OR","Shape",4.01654979908623,0.643557526210512,0.1548137379
"","","","Rate",3.588087347589,0.612401733530264,0.1548137379
"Normal","NA","OR","Mean",0.964552081873611,0.0679273109731819,0
"","","","SD",0.576382346603282,0.0480312116086621,0
